from,to,relationship,year
fb,wirtschaft,1,2017
ft,finanzen,1,2017
rss,inneres,1,2017
tl,auswaertig,1,2017
bs,justiz,1,2017
co,ernaehrung,1,2017
mat,verkehr,1,2017
ck,umwelt,1,2017
jb,bildung,1,2017
fb,dfpv,2,2017
fb,europarl,2,2009
fb,bundestag,2,2013
fb,gruene,2,2013
fb,krisenpraevention,2,2014
fb,gruene,2,2017
fb,antonyscollege,6,2006
fb,unifem,3,2013
fb,europeancouncil,3,2013
fb,bertelsmann,3,2013
fb,gruene,2,1996
fb,gruene,2,1999
fb,famaus,2,2013
fb,auswaertigaus,2,2013
fb,euaus,2,2013
fb,pandemie,2,2013
fb,elyseevertrag,2,2013
fb,jacques,4,2013
fb,frieden,4,2013
fb,mutterkind,3,2013
fb,avanti,3,2013
fb,unimannheim,6,2010
fb,youthcaucus,2,2000
fb,friedenskommission,2,2009
fb,sicherheitsaus,2,2009
fb,frauenrechtsaus,2,2009
fb,haushaltsaus,2,2009
fb,eppsp,2,2009
fb,spinelli,3,2010
fb,boellstiftung,3,kA
ft,untersuchaus,2,2017
ft,finanzaus,2,2017
ft,altrat,2,2017
ft,gemeinaus,2,2017
ft,innerenaus,2,2017
ft,wahlaus,2,2017
ft,vermittaus,2,2017
ft,ausschusswahl,2,2017
ft,freshfields,6,2017
ft,anwaltservice,4,2017
ft,kreditanstalt,3,2017
ft,verwaltung,3,2017
ft,beiratfinanz,3,2017
ft,verantwortung,3,2017
ft,fdp,2,2003
ft,landesfachausschuss,2,kA
ft,bundestag,2,2005
ft,finanzgremium,2,2005
ft,fdp,2,2011
ft,fdp,2,2017
ft,uregensburg,7,2000
ft,ucambridge,7,2000
ft,uheidelberg,7,2000
ft,utuebingen,7,2012
ft,fdp,2,2005
ft,hauptaus,2,2009
ft,fdp,2,2011
ft,fdp,2,2017
ft,fdp,2,1998
ft,fdp,2,2003
ft,juli,2,2006
ft,fdp,2,2011
ft,menschenrechte,2,2005
ft,fdp,2,2017
ft,richteraus,3,2020
ft,vereinfreunde,3,kA
ft,selwyn,3,kA
ft,scheffelbund,3,kA
ft,dlrg,3,kA
ft,dag,3,kA
ft,dig,3,kA
ft,help,3,kA
ft,alumnihd,3,kA
ft,freunderegensburg,3,kA
ft,hauptaus,2,2009
ft,rechtaus,2,2009
ft,parlbeirat,2,2009
ft,paramount,4,2009
ft,flug,3,2009
ft,mutterkind,3,2009
ft,heussstiftung,3,2009
ft,hauptaus,2,2021
rss,ufreiburg,7,1983
rss,uzuerich,7,1989
rss,beratung,6,1997
rss,umwelt,2,2005
rss,spd,2,1994
rss,spd,2,2001
rss,spd,2,2007
rss,verdi,3,2009
rss,vergessen,3,2009
rss,eurosolare,3,2009
rss,klar,3,2009
rss,hospiz,3,2009
rss,ufreiburg,3,2009
rss,gesellreaktor,4,2009
rss,dbu,3,2009
rss,wirtforum,3,2009
rss,arbeiterwohl,3,2009
rss,arbeitergemeinfrau,2,1999
rss,wirtschaftaus,2,2009
