id,name_short,name,type,sex,birth,position,education,sucject,party,religion,kids,twitter,instagram,facebook,youtube
fb,brantner,Franziska Brantner,0,2,1979,1,4,1,2,,1,14047,4470,2747,26
ft,toncar,Florian Toncar,0,1,1979,1,4,2,3,1,3,8588,3069,4478,99
rss,sutter,Rita Schwarzelühr-Sutter,0,2,1962,1,5,3,1,2,2,4249,1534,2941,17
tl,lindner,Tobias Lindner,0,1,1982,2,4,3,2,,1,10503,3579,4920,
bs,strasser,Benjamin Strasser,0,1,1987,1,6,2,3,2,,5811,3920,3372,287
co,oezdemir,Cem Özdemir,0,1,1965,3,5,4,2,3,2,317191,105000,162574,
mat,theurer,Michael A. Theurer,0,1,1967,1,5,3,3,1,2,8478,3744,27913,
ck,kuehn,Chris Kühn,0,1,1979,1,7,1,2,,3,4786,1660,97,35
jb,brandenburg,Jens Brandenburg,0,1,1986,1,4,1,3,,0,5407,3321,,
wirtschaft,mwirtschaft,Ministerium Wirtschaft,1,,,,,,,,,,,,
finanzen,mfinanzen,Ministerium Finanzen,1,,,,,,,,,,,,
inneres,minneres,Ministerium Inneres,1,,,,,,,,,,,,
auswaertig,aauswaertig,Auswärtiges Amt,1,,,,,,,,,,,,
justiz,mjustiz,Ministerium Justiz,1,,,,,,,,,,,,
ernaehrung,mernaehrung,Ministerium Ernährung,1,,,,,,,,,,,,
verkehr,mverkehr,Ministerium Verkehr,1,,,,,,,,,,,,
umwelt,mumwelt,Ministerium Umwelt,1,,,,,,,,,,,,
bildung,mbildung,Ministerium Bildung,1,,,,,,,,,,,,
dfpv,deutschfranzösisch,Deutsch-Französische Parlamentarische Versammlung,1,,,,,,,,,,,,
europarl,euparlament,Europäisches Parlament,1,,,,,,,,,,,,
bundestag,debundestag,Deutscher Bundestag,1,,,,,,,,,,,,
gruene,bgruene,Bündnis Grüne,1,,,,,,,,,,,,
krisenpraevention,unterauskrisenpraevention,"Unterausschuss Krisenprävention, Konfliktbearbeitung und vernetztes Handeln",1,,,,,,,,,,,,
antonyscollege,stantonyscollege,European Studies Centre St Antony’s College in Oxford,1,,,,,,,,,,,,
unifem,frauenrechtsorganisation,UN-Frauenrechtsorganisation,1,,,,,,,,,,,,
europeancouncil,europeancouncilforeignrelations,European Council on Foreign Relations,1,,,,,,,,,,,,
bertelsmann,stiftungbertelsmann,Bertelsmann Sitftung,1,,,,,,,,,,,,
famaus,familienausschuss,"Ausschuss für Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
auswaertigaus,auswaertigerausschuss,Auswärtiger Ausschuss,1,,,,,,,,,,,,
euaus,euausschuss,Ausschuss für die Angelegenheiten der Europäischen Union,1,,,,,,,,,,,,
pandemie,gremiumcovid,Parlamentarisches Begleitgremium Covid-19-Pandemie,1,,,,,,,,,,,,
elyseevertrag,arbeitsgruppeelyseevertrag,Deutsch-französische Arbeitsgruppe zum Elysee-Vertrag,1,,,,,,,,,,,,
jacques,jdc,Jacques Delors Centre,1,,,,,,,,,,,,
frieden,friedenseinsätze,Zentrum für Internationale Friedenseinsätze gemeinnützige GmbH (ZIF),1,,,,,,,,,,,,
mutterkind,stiftungmutterkind,Bundesstiftung Mutter und Kind − Schutz des ungeborenen Lebens,1,,,,,,,,,,,,
avanti,avantieuro,Avanti Europe ! e.V.,1,,,,,,,,,,,,
unimannheim,universimannheim,Universität Mannheim,1,,,,,,,,,,,,
youthcaucus,youthcaucuswomen,„Youth Caucus“ der UN Commission on the Status of Women,1,,,,,,,,,,,,
friedenskommission,friedenskommissionbundespartei,Friedens- und Sicherheitspolitische Kommission der Bundespartei,1,,,,,,,,,,,,
sicherheitsaus,sicherheitsausschuss,Unterausschuss für Sicherheit und Verteidigung,1,,,,,,,,,,,,
frauenrechtsaus,frauenrechtsausschuss,Frauenrechts- und Gleichstellungsausschuss,1,,,,,,,,,,,,
haushaltsaus,haushaltsausschuss,Haushaltsausschuss,1,,,,,,,,,,,,
eppsp,euplatfromsecularism,European Parliament Platform for Secularism in Politics ,1,,,,,,,,,,,,
